rank,risk_category,ticker,composite_percentile,num_factors,percentile_ml_forecast,percentile_kalman_signal_strength,percentile_cvar
47,LOW,VCF.AX,39.81481481481482,3,23.61111111111111,25.0,70.83333333333334
48,LOW,XARO.AX,39.351851851851855,3,5.555555555555555,68.05555555555556,44.44444444444444
49,LOW,GBND.AX,38.88888888888889,3,51.388888888888886,30.555555555555554,34.72222222222223
50,LOW,FRAR.AX,38.42592592592593,3,63.888888888888886,18.055555555555554,33.33333333333334
51,LOW,VIF.AX,37.96296296296296,3,50.0,8.333333333333332,55.55555555555556
52,LOW,GCAP.AX,37.96296296296296,3,11.11111111111111,22.22222222222222,80.55555555555556
53,LOW,AESG.AX,37.03703703703704,3,45.83333333333333,19.444444444444443,45.833333333333336
54,LOW,GROW.AX,34.72222222222222,3,2.7777777777777777,43.05555555555556,58.333333333333336
55,LOW,BHYB.AX,34.72222222222222,3,33.33333333333333,45.83333333333333,25.0
56,LOW,VBND.AX,33.7962962962963,3,43.05555555555556,5.555555555555555,52.77777777777778
57,LOW,SUBD.AX,33.7962962962963,3,12.5,76.38888888888889,12.5
58,LOW,EBND.AX,30.555555555555557,3,1.3888888888888888,4.166666666666666,86.11111111111111
59,LOW,HCRD.AX,28.240740740740737,3,30.555555555555554,36.11111111111111,18.055555555555557
60,LOW,BANK.AX,22.222222222222225,3,52.77777777777778,2.7777777777777777,11.111111111111114
61,LOW,MQDB.AX,21.759259259259256,3,36.11111111111111,6.944444444444445,22.22222222222223
62,LOW,MQIO.AX,20.833333333333332,3,34.72222222222222,1.3888888888888888,26.388888888888886
63,LOW,DHOF.AX,20.37037037037037,3,31.944444444444443,13.88888888888889,15.277777777777786
64,LOW,HBRD.AX,19.444444444444446,3,25.0,16.666666666666664,16.66666666666667
1,MEDIUM,SNAS.AX,97.63205828779599,3,100.0,93.44262295081968,99.4535519125683
2,MEDIUM,AUDS.AX,89.98178506375228,3,79.78142076502733,95.62841530054645,94.53551912568307
3,MEDIUM,JHGA.AX,88.3424408014572,3,70.49180327868854,98.90710382513662,95.62841530054645
4,MEDIUM,GGAB.AX,88.3424408014572,3,99.45355191256832,86.33879781420765,79.23497267759562
5,MEDIUM,MKAX.AX,83.97085610200365,3,97.26775956284153,73.7704918032787,80.8743169398907
6,MEDIUM,OOO.AX,82.33151183970857,3,92.3497267759563,56.28415300546449,98.36065573770492
7,MEDIUM,STW.AX,81.23861566484517,3,84.15300546448088,85.24590163934427,74.31693989071039
8,MEDIUM,GRIN.AX,81.23861566484517,3,70.49180327868854,100.0,73.22404371584699
9,MEDIUM,XCO2.AX,79.78142076502733,3,75.95628415300547,67.21311475409837,96.17486338797814
10,MEDIUM,GCQF.AX,79.78142076502733,3,70.49180327868854,97.81420765027323,71.03825136612022
11,MEDIUM,FIIN.AX,77.23132969034607,3,75.40983606557377,71.03825136612022,85.24590163934425
12,MEDIUM,YANK.AX,76.1384335154827,3,45.35519125683061,93.98907103825138,89.07103825136612
13,MEDIUM,MAAT.AX,74.86338797814209,3,80.87431693989072,67.21311475409837,76.50273224043715
14,MEDIUM,VLC.AX,72.49544626593809,3,85.79234972677597,79.78142076502733,51.912568306010925
15,MEDIUM,A200.AX,72.31329690346085,3,84.69945355191258,79.23497267759564,53.00546448087431
16,MEDIUM,CNEW.AX,71.94899817850637,3,95.62841530054645,28.961748633879782,91.2568306010929
17,MEDIUM,IJH.AX,70.85610200364299,3,53.551912568306015,73.224043715847,85.79234972677595
18,MEDIUM,HHIF.AX,70.40072859744991,3,96.72131147540985,45.62841530054645,68.85245901639344
19,MEDIUM,VAS.AX,70.3096539162113,3,83.0601092896175,81.9672131147541,45.90163934426229
20,MEDIUM,EINC.AX,70.3096539162113,3,43.169398907103826,95.08196721311477,72.6775956284153
21,MEDIUM,ISLM.AX,70.12750455373407,3,33.87978142076503,90.16393442622952,86.33879781420765
22,MEDIUM,EMMG.AX,69.94535519125684,3,62.29508196721312,77.59562841530055,69.94535519125682
23,MEDIUM,GHLD.AX,69.7632058287796,3,70.49180327868854,48.63387978142077,90.1639344262295
24,MEDIUM,WCMQ.AX,69.58105646630237,3,54.644808743169406,84.69945355191258,69.39890710382514
25,MEDIUM,GAME.AX,69.58105646630237,3,98.36065573770493,19.672131147540984,90.7103825136612
26,MEDIUM,IOZ.AX,69.39890710382514,3,83.60655737704919,83.60655737704919,40.983606557377044
27,MEDIUM,ALTB.AX,68.85245901639344,3,91.2568306010929,99.45355191256832,15.846994535519116
28,MEDIUM,NDIA.AX,68.85245901639344,3,51.36612021857924,76.50273224043717,78.68852459016394
29,MEDIUM,DRGN.AX,67.3952641165756,3,70.49180327868854,43.715846994535525,87.97814207650273
30,MEDIUM,MHG.AX,66.48451730418944,3,60.65573770491804,77.04918032786885,61.748633879781416
31,MEDIUM,AASF.AX,66.2112932604736,3,93.44262295081968,45.62841530054645,59.56284153005464
32,MEDIUM,BBFD.AX,66.12021857923497,3,70.49180327868854,30.054644808743173,97.81420765027322
