,0
2023-07-13,78612.95760193879
2023-07-14,78790.20492823924
2023-07-17,78871.61209367638
2023-07-18,79444.4787535478
2023-07-19,79663.16330230748
2023-07-20,79822.12412075276
2023-07-21,79611.59943673314
2023-07-24,79618.88322566499
2023-07-25,79467.20849733746
2023-07-26,79668.5599611174
2023-07-27,79505.6393167868
2023-07-28,79353.28607456324
2023-07-31,80000.0
2023-08-01,80132.62199106243
2023-08-02,79636.76296508267
2023-08-03,78850.57548682105
2023-08-04,78888.54523108008
2023-08-07,78906.47548163933
2023-08-08,78077.66796436331
2023-08-09,78198.88065826957
2023-08-10,78430.49194956779
2023-08-11,78262.36881295475
2023-08-14,78302.12530869074
2023-08-15,78048.78674095635
2023-08-16,77717.05550729591
2023-08-17,77745.25698345387
2023-08-18,77743.00192667644
2023-08-21,77596.75645402848
2023-08-22,77876.15250842909
2023-08-23,78029.93010466083
2023-08-24,78205.18902762201
2023-08-25,78093.64930398422
2023-08-28,77997.50505140105
2023-08-29,78222.95949128717
2023-08-30,78538.24378792798
2023-08-31,78506.04010659429
2023-09-01,78723.78768456852
2023-09-04,68404.06797231785
2023-09-05,78489.32719374695
2023-09-06,78443.03499242438
2023-09-07,78095.66125630517
2023-09-08,77566.19076159428
2023-09-11,77441.18221688212
2023-09-12,77552.89112120065
2023-09-13,77560.95964241416
2023-09-14,77149.19827831109
2023-09-15,77489.75584411173
2023-09-18,77725.45867997219
2023-09-19,77174.2907564518
2023-09-20,76967.29162541969
2023-09-21,77250.22232229996
2023-09-22,77150.14411995086
2023-09-25,76982.37121812742
2023-09-26,76555.0975466265
2023-09-27,76501.22046403593
2023-09-28,76360.59665046354
2023-09-29,76403.15116729084
2023-10-02,76065.77079232656
2023-10-03,75008.52991968466
2023-10-04,74684.98060370277
2023-10-05,74538.29940892805
2023-10-06,74513.08132101847
2023-10-09,75148.85044719468
2023-10-10,74918.16182441384
2023-10-11,75631.5996493399
2023-10-12,75644.28260815704
2023-10-13,75667.3263091088
2023-10-16,75930.53817996946
2023-10-17,75581.38735189925
2023-10-18,75857.93846599458
2023-10-19,75410.73430699405
2023-10-20,74453.34392563152
2023-10-23,74640.1382586896
2023-10-24,73999.7971436186
2023-10-25,73925.20971836428
2023-10-26,74226.30680320536
2023-10-27,74433.09051014701
2023-10-30,74295.04382497846
2023-10-31,80000.0
2023-11-01,80230.21181336694
2023-11-02,79949.57131372606
2023-11-03,80332.38274146956
2023-11-06,81157.01525425712
2023-11-07,80382.64272995917
2023-11-08,80406.14267389779
2023-11-09,79957.82818598035
2023-11-10,79833.72235478493
2023-11-13,79423.86130985458
2023-11-14,79322.88035084229
2023-11-15,81312.32856362076
2023-11-16,81549.91875924688
2023-11-17,81453.6793191539
2023-11-20,81743.37186249261
2023-11-21,82120.89270207254
2023-11-22,81585.57566216441
2023-11-23,71825.73517707673
2023-11-24,81762.8897035101
2023-11-27,82182.6968190601
2023-11-28,81332.3626730833
2023-11-29,81774.77579987244
2023-11-30,82004.42075596673
2023-12-01,82280.12927728498
2023-12-04,83063.69238620982
2023-12-05,83007.85150843085
2023-12-06,82575.67563777589
2023-12-07,82373.93574102252
2023-12-08,82257.51038789673
2023-12-11,81702.10607495323
2023-12-12,81622.96931036137
2023-12-13,81318.33800136509
2023-12-14,82698.56683791325
2023-12-15,84468.53240512166
2023-12-18,84367.46544848224
2023-12-19,84143.5512319302
2023-12-20,85017.6592102555
2023-12-21,84119.42702607877
2023-12-22,85225.1768724259
2023-12-26,9852.811309381033
2023-12-27,85899.10616103509
2023-12-28,86681.29398037738
2023-12-29,86455.66592041464
2024-01-02,86043.66906152946
2024-01-03,85518.18376454136
2024-01-04,84883.41606868492
2024-01-05,84970.85103020666
2024-01-08,84676.31344103921
2024-01-09,84767.69369976872
2024-01-10,84476.799006287
2024-01-11,84233.73349016652
2024-01-12,83289.8437942544
2024-01-15,73707.93559162105
2024-01-16,83285.70184592741
2024-01-17,82301.01148485087
2024-01-18,81688.61979161928
2024-01-19,81454.11357375895
2024-01-22,81315.61131985592
2024-01-23,81543.5520534218
2024-01-24,82003.26866367135
2024-01-25,82370.11145363994
2024-01-26,9443.626929134
2024-01-29,82327.3938492089
2024-01-30,82623.23098511764
2024-01-31,80000.0
2024-02-01,80408.16694403473
2024-02-02,80094.66751326309
2024-02-05,79529.28954914722
2024-02-06,79203.9619852582
2024-02-07,79389.12000348503
2024-02-08,79056.16548181485
2024-02-09,79516.24231848092
2024-02-12,79666.80924430426
2024-02-13,80464.66802403284
2024-02-14,79133.16186220667
2024-02-15,79703.5577983473
2024-02-16,80467.22540354794
2024-02-19,70367.36412276703
2024-02-20,80193.71018863647
2024-02-21,79674.31657979204
2024-02-22,79394.05711712516
2024-02-23,79150.93255913114
2024-02-26,78929.371460639
2024-02-27,79196.18495942715
2024-02-28,79914.09222475706
2024-02-29,80379.2204137462
2024-03-01,80216.39027626069
2024-03-04,80453.94947582755
2024-03-05,80695.36020977158
2024-03-06,80968.5328745405
2024-03-07,81245.26720551662
2024-03-08,81327.9554841159
2024-03-11,81339.78118320585
2024-03-12,81037.24542284266
2024-03-13,80479.42070459953
2024-03-14,81291.73495634389
2024-03-15,80984.94569553413
2024-03-18,82020.50468070537
2024-03-19,81768.07028710797
2024-03-20,81581.50871798281
2024-03-21,82324.81765483103
2024-03-22,82045.24434900032
2024-03-25,82258.25823219925
2024-03-26,82244.41936740116
2024-03-27,82083.98694109065
2024-03-28,82504.71474046532
2024-04-01,10747.549781566504
2024-04-02,83520.10643311439
2024-04-03,83203.42856713702
2024-04-04,83239.09505517522
2024-04-05,82858.6270409263
2024-04-08,83358.28098791036
2024-04-09,83907.83392633146
2024-04-10,84522.18947002049
2024-04-11,84670.28421133551
2024-04-12,85709.41314751904
2024-04-15,85374.62525667605
